,0
,0
javascript,6
java,13
scala,1
typescript,3
sql,5
python,14
angular,2
react.js,3
node.js,3
ebx,1
c++,12
cobra,1
c#,7
c,9
ruby,1
html5,1
xml,1
perl,1
ajax,2
qt,1
oracle,3
html,4
css,4
jquery,2
aws,3
vue.js,1
sass,1
webgl,1
webpack,3
matlab,1
angularjs,1
react,1
.net,1
asp.net,2
nodej.js,1
nosql,1
go,1
postgres,2
kafka,1
redshift,1
heroku,1
docker,1
kubernetes,1
redis,1
postgresql,1
netcore,1
bootstrap,1
